date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-09-02,sh.601360,7.2800,7.4100,7.2700,7.3800,7.2600,26529299,195215547.5600,3,0.371300,1,1.652900,-773.979634,1.612218,5.226241,104.416385,0
2022-09-05,sh.601360,7.3600,7.6400,7.2800,7.5100,7.3800,63888395,476726533.4000,3,0.894100,1,1.761500,-787.613421,1.640618,5.318303,106.255698,0
2022-09-06,sh.601360,7.6200,7.6500,7.4700,7.5300,7.5100,59409273,448016599.8600,3,0.831400,1,0.266300,-789.710927,1.644987,5.332466,106.538669,0
2022-09-07,sh.601360,7.4900,7.5200,7.4400,7.4800,7.5300,30133981,225092324.1600,3,0.421700,1,-0.664000,-784.467162,1.634064,5.297058,105.831241,0
2022-09-08,sh.601360,7.4900,7.5200,7.3900,7.3900,7.4800,27034103,201507375.9000,3,0.378300,1,-1.203200,-775.028386,1.614403,5.233323,104.557871,0
2022-09-09,sh.601360,7.4300,7.5100,7.4000,7.5000,7.3900,28949373,216384124.2100,3,0.405100,1,1.488500,-786.564668,1.638433,5.311221,106.114212,0
2022-09-13,sh.601360,7.5300,7.6100,7.5000,7.5400,7.5000,32983742,249308050.8400,3,0.461600,1,0.533300,-790.759680,1.647172,5.339547,106.680155,0
2022-09-14,sh.601360,7.4300,7.5100,7.4000,7.5000,7.5400,24374310,181583431.9600,3,0.341100,1,-0.530500,-786.564668,1.638433,5.311221,106.114212,0
2022-09-15,sh.601360,7.5300,7.7500,7.4600,7.5300,7.5000,61487542,468573556.6800,3,0.860500,1,0.400000,-789.710927,1.644987,5.332466,106.538669,0
2022-09-16,sh.601360,7.5000,7.9000,7.4800,7.6100,7.5300,108615846,837090350.7900,3,1.520100,1,1.062400,-798.100950,1.662464,5.389119,107.670554,0
2022-09-19,sh.601360,7.6100,7.6200,7.1200,7.1300,7.6100,81826349,592212638.4300,3,1.145200,1,-6.307500,-747.760811,1.557604,5.049201,100.879245,0
2022-09-20,sh.601360,7.1800,7.2700,7.1000,7.1300,7.1300,34832478,249676903.2900,3,0.487500,1,0.000000,-747.760811,1.557604,5.049201,100.879245,0
2022-09-21,sh.601360,7.0700,7.1200,6.8500,7.0900,7.1300,53052680,370259967.2700,3,0.742500,1,-0.561000,-743.565800,1.548866,5.020874,100.313302,0
2022-09-22,sh.601360,6.9900,7.2000,6.9700,7.0600,7.0900,31982086,227454119.6100,3,0.447600,1,-0.423100,-740.419541,1.542312,4.999629,99.888845,0
2022-09-23,sh.601360,7.1200,7.2000,6.9900,6.9900,7.0600,33731100,238973291.6100,3,0.472100,1,-0.991500,-733.078271,1.527020,4.950058,98.898446,0
2022-09-26,sh.601360,6.9000,6.9100,6.6300,6.6700,6.9900,59007703,398371133.2600,3,0.825800,1,-4.578000,-699.518178,1.457113,4.723446,94.370906,0
2022-09-27,sh.601360,6.6700,6.7800,6.6400,6.7700,6.6700,28908856,194222958.7500,3,0.404600,1,1.499300,-710.005707,1.478959,4.794262,95.785762,0
2022-09-28,sh.601360,6.7700,6.7800,6.6200,6.6300,6.7700,27601400,184808795.3100,3,0.386300,1,-2.067900,-695.323167,1.448375,4.695119,93.804964,0
2022-09-29,sh.601360,6.6900,6.7300,6.5100,6.5500,6.6300,30719772,203424106.2400,3,0.429900,1,-1.206600,-686.933144,1.430898,4.638466,92.673079,0
